total_t,total_$
584,28902986
597,28903222
554,28904212
580,28904252
586,28906444
600,28907005
596,28908271
582,28908334
589,28908933
578,28909600
566,28911141
605,28912240
598,28912352
601,28913506
594,28913618
580,28913681
574,28914045
589,28915047
570,28915311
590,28916118
621,28916259
585,28916313
617,28917525
596,28917700
597,28917952
592,28918966
593,28919218
589,28921096
588,28921490
602,28921956
584,28922756
585,28922986
598,28923222
555,28924212
587,28926444
601,28927005
594,28927667
597,28928271
583,28928334
577,28928698
590,28928933
579,28929600
567,28931141
620,28932177
606,28932240
599,28932352
563,28932407
602,28933506
595,28933618
581,28933681
575,28934045
590,28935047
571,28935311
591,28936118
622,28936259
586,28936313
587,28937384
573,28937472
618,28937525
597,28937700
598,28937952
594,28939218
573,28939392
590,28941096
585,28942756
586,28942986
599,28943222
556,28944212
583,28946029
588,28946444
602,28947005
598,28948271
584,28948334
578,28948698
591,28948933
580,28949600
594,28950771
568,28951141
621,28952177
607,28952240
600,28952352
603,28953506
596,28953618
582,28953681
576,28954045
617,28954863
578,28954947
591,28955047
572,28955311
592,28956118
623,28956259
587,28956313
588,28957384
619,28957525
598,28957700
599,28957952
595,28959218
574,28959392
591,28961096
590,28961490
604,28961956
586,28962756
587,28962986
600,28963222
557,28964212
583,28964252
588,28964763
589,28966444
603,28967005
599,28968271
585,28968334
592,28968933
581,28969600
595,28970771
569,28971141
608,28972240
601,28972352
604,28973506
597,28973618
583,28973681
577,28974045
592,28975047
573,28975311
593,28976118
624,28976259
588,28976313
575,28977472
620,28977525
599,28977700
603,28977874
600,28977952
596,28979218
585,28980095
592,28981096
591,28981490
605,28981956
599,28982320
587,28982756
588,28982986
601,28983222
558,28984212
584,28984252
585,28986029
590,28986444
604,28987005
600,28988271
586,28988334
593,28988933
582,28989600
596,28990771
570,28991141
623,28992177
609,28992240
601,28992250
602,28992352
605,28993506
598,28993618
584,28993681
578,28994045
593,28995047
574,28995311
594,28996118
615,28996129
625,28996259
589,28996313
590,28997384
621,28997525
600,28997700
601,28997952
596,28998966
597,28999218
593,29001096
592,29001466
592,29001490
606,29001956
588,29002756
589,29002986
559,29004212
585,29004252
590,29004763
586,29006029
591,29006444
605,29007005
598,29007667
601,29008271
587,29008334
581,29008698
594,29008933
583,29009600
597,29010771
618,29010782
571,29011141
624,29012177
610,29012240
603,29012352
567,29012407
581,29012425
606,29013506
599,29013618
585,29013681
579,29014045
620,29014863
581,29014947
594,29015047
575,29015311
595,29016118
626,29016259
590,29016313
591,29017384
577,29017472
622,29017525
601,29017700
602,29017952
573,29018738
598,29019218
577,29019392
600,29019815
594,29021096
593,29021466
593,29021490
589,29022756
590,29022986
603,29023222
597,29023586
560,29024212
586,29024252
591,29024763
574,29025793
587,29026029
592,29026444
606,29027005
588,29027710
602,29028271
588,29028334
582,29028698
595,29028933
584,29029600
598,29030771
572,29031141
611,29032240
604,29032352
568,29032407
582,29032425
607,29033506
600,29033618
586,29033681
580,29034045
595,29035047
576,29035311
596,29036118
627,29036259
591,29036313
623,29037525
602,29037700
603,29037952
598,29038966
599,29039218
601,29039815
595,29041096
594,29041490
591,29042362
590,29042756
591,29042986
604,29043222
561,29044212
592,29044763
557,29045478
593,29046444
607,29047005
600,29047667
610,29048159
603,29048271
589,29048334
583,29048698
596,29048933
585,29049600
599,29050771
630,29050911
573,29051141
626,29052177
612,29052240
605,29052352
569,29052407
583,29052425
608,29053506
601,29053618
587,29053681
581,29054045
583,29054947
596,29055047
577,29055311
597,29056118
628,29056259
592,29056313
571,29056488
579,29057472
624,29057525
603,29057700
604,29057952
575,29058738
599,29058966
600,29059218
596,29061096
595,29061466
595,29061490
609,29061956
591,29062756
592,29062986
605,29063222
562,29064212
589,29066029
594,29066444
608,29067005
601,29067667
604,29068271
590,29068334
584,29068698
586,29069600
600,29070771
574,29071141
606,29072352
570,29072407
584,29072425
609,29073506
602,29073618
588,29073681
582,29074045
597,29075047
578,29075311
598,29076118
629,29076259
593,29076313
625,29077525
604,29077700
605,29077952
576,29078136
600,29078966
601,29079218
580,29079392
590,29080095
597,29081096
596,29081466
596,29081490
610,29081956
592,29082756
593,29082986
572,29083183
606,29083222
563,29084212
589,29084252
559,29085478
590,29086029
595,29086444
609,29087005
591,29087710
612,29088159
605,29088271
591,29088334
585,29088698
598,29088933
587,29089600
601,29090771
575,29091141
614,29092240
607,29092352
571,29092407
585,29092425
610,29093506
603,29093618
589,29093681
583,29094045
585,29094947
598,29095047
579,29095311
599,29096118
630,29096259
594,29096313
595,29097384
581,29097472
626,29097525
605,29097700
606,29097952
577,29098738
601,29098966
602,29099218
581,29099392
597,29099415
598,29101096
597,29101490
593,29102756
594,29102986
607,29103222
564,29104212
590,29104252
578,29105793
591,29106029
596,29106444
610,29107005
592,29107710
606,29108271
592,29108334
586,29108698
599,29108933
588,29109600
582,29109964
602,29110771
576,29111141
594,29111791
615,29112240
608,29112352
572,29112407
586,29112425
611,29113506
604,29113618
590,29113681
584,29114045
599,29115047
580,29115311
589,29115796
600,29116118
621,29116129
631,29116259
595,29116313
574,29116488
582,29117472
627,29117525
606,29117700
607,29117952
578,29118136
578,29118738
603,29119218
582,29119392
599,29121096
598,29121466
598,29121490
594,29122756
595,29122986
574,29123183
608,29123222
565,29124212
591,29124252
596,29124763
579,29125793
592,29126029
597,29126444
611,29127005
593,29127710
607,29128271
593,29128334
587,29128698
600,29128933
628,29129516
563,29129559
589,29129600
603,29130771
577,29131141
616,29132240
609,29132352
573,29132407
587,29132425
612,29133506
605,29133618
591,29133681
606,29133870
585,29134045
600,29135047
581,29135311
601,29136118
632,29136259
596,29136313
583,29137472
628,29137525
607,29137700
608,29137952
579,29138738
604,29139218
583,29139392
600,29141096
599,29141466
595,29142756
596,29142986
609,29143222
566,29144212
592,29144252
597,29144763
562,29145478
593,29146029
598,29146444
612,29147005
580,29147187
594,29147710
608,29148271
594,29148334
588,29148698
601,29148933
564,29149559
590,29149600
604,29150771
625,29150782
578,29151141
617,29152240
610,29152352
574,29152407
588,29152425
613,29153506
606,29153618
592,29153681
586,29154045
601,29155047
582,29155311
602,29156118
633,29156259
597,29156313
576,29156488
584,29157472
629,29157525
608,29157700
612,29157874
609,29157952
580,29158738
604,29158966
605,29159218
584,29159392
594,29160095
601,29161096
590,29161361
600,29161490
596,29162756
597,29162986
567,29164212
593,29164252
594,29166029
599,29166444
613,29167005
591,29167078
595,29167710
609,29168271
595,29168334
589,29168698
602,29168933
591,29169600
605,29170771
579,29171141
611,29172352
575,29172407
589,29172425
614,29173506
607,29173618
593,29173681
587,29174045
602,29175047
583,29175311
603,29176118
634,29176259
598,29176313
577,29176488
585,29177472
630,29177525
609,29177700
610,29177952
581,29178738
606,29179218
585,29179392
601,29179415
552,29180193
602,29181096
591,29181361
601,29181466
601,29181490
597,29182756
598,29182986
577,29183183
611,29183222
568,29184212
594,29184252
564,29185478
582,29185793
600,29186444
614,29187005
596,29187710
610,29188271
596,29188334
590,29188698
603,29188933
592,29189600
606,29190771
601,29190966
580,29191141
619,29192240
612,29192352
576,29192407
590,29192425
615,29193506
608,29193618
594,29193681
588,29194045
629,29194863
603,29195047
584,29195311
604,29196118
635,29196259
599,29196313
578,29196488
586,29197472
631,29197525
610,29197700
588,29197772
611,29197952
582,29198136
582,29198738
571,29198864
606,29198966
607,29199218
586,29199392
553,29200193
603,29201096
602,29201466
598,29202756
599,29202986
612,29203222
569,29204212
595,29204252
565,29205478
583,29205793
596,29206029
601,29206444
615,29207005
583,29207187
597,29207710
611,29208271
597,29208334
591,29208698
593,29209600
607,29210771
638,29210911
581,29211141
599,29211791
620,29212240
613,29212352
577,29212407
591,29212425
616,29213506
609,29213618
595,29213681
589,29214045
591,29214947
604,29215047
585,29215311
605,29216118
626,29216129
636,29216259
600,29216313
587,29217472
632,29217525
611,29217700
612,29217952
583,29218136
583,29218738
607,29218966
608,29219218
587,29219392
610,29219815
554,29220193
599,29220681
604,29221096
603,29221466
599,29222756
600,29222986
613,29223222
607,29223586
570,29224212
596,29224252
566,29225478
584,29225793
597,29226029
602,29226444
616,29227005
594,29227078
609,29227667
598,29227710
562,29227978
619,29228159
612,29228271
598,29228334
580,29228453
592,29228698
568,29229559
594,29229600
608,29230771
629,29230782
582,29231141
621,29232240
614,29232352
578,29232407
592,29232425
617,29233506
610,29233618
596,29233681
590,29234045
631,29234863
605,29235047
586,29235311
596,29236013
606,29236118
627,29236129
637,29236259
601,29236313
588,29237472
633,29237525
612,29237700
613,29237952
584,29238136
584,29238738
573,29238864
609,29239218
588,29239392
555,29240193
605,29241096
604,29241490
601,29242362
600,29242756
601,29242986
614,29243222
571,29244212
597,29244252
602,29244763
567,29245478
585,29245793
598,29246029
603,29246444
617,29247005
595,29247078
585,29247187
599,29247710
563,29247978
613,29248271
599,29248334
593,29248698
606,29248933
595,29249600
608,29249700
589,29249964
609,29250771
583,29251141
622,29252240
615,29252352
579,29252407
593,29252425
618,29253506
611,29253618
597,29253681
612,29253870
591,29254045
606,29255047
587,29255311
607,29256118
628,29256129
602,29256313
581,29256488
589,29257472
634,29257525
613,29257700
617,29257874
614,29257952
585,29258136
585,29258738
574,29258864
610,29259218
589,29259392
556,29260193
585,29260658
606,29261096
595,29261361
605,29261490
601,29262756
602,29262986
572,29264212
598,29264252
577,29264449
608,29264565
603,29264763
568,29265478
586,29265793
599,29266029
604,29266444
618,29267005
582,29267059
596,29267078
600,29267710
564,29267978
614,29268271
600,29268334
582,29268453
594,29268698
570,29269559
596,29269600
590,29269964
610,29270771
605,29270966
584,29271141
637,29272177
623,29272240
616,29272352
580,29272407
594,29272425
619,29273506
612,29273618
598,29273681
592,29274045
594,29274947
607,29275047
588,29275311
608,29276118
603,29276313
582,29276488
604,29277384
590,29277472
635,29277525
614,29277700
