total_t,total_$,tw0,tw1,tw3,tw4
632,30780193,89,137,100,138
625,30805904,87,129,105,138
602,29308334,96,147,108,151
578,29700193,76,157,84,174
598,29551141,137,131,117,177
592,28792352,105,163,109,176
583,28928334,94,131,102,189
617,30803000,77,120,115,137
653,30012352,104,191,95,123
576,29344212,85,172,89,177
622,29392352,100,168,116,139
621,29372352,99,181,112,147
580,28552352,105,172,103,181
591,29254045,96,141,98,174
624,29914045,106,119,86,134
639,30214045,106,127,101,122
582,28908334,102,127,115,174
625,29407005,113,171,132,130
633,29928334,94,139,82,130
618,30500193,91,140,101,140
592,29664212,79,178,95,166
629,30171141,104,129,122,146
608,30623000,84,135,90,155
612,29508334,113,137,88,161
598,30423000,93,137,94,161
621,29854045,106,148,96,134
600,29434045,104,131,107,167
622,29874045,118,124,85,142
622,30580193,80,147,114,125
636,30860193,85,142,98,136
614,30585904,81,123,100,133
618,30184212,89,155,95,130
597,30080193,85,130,94,169
639,30048334,107,142,82,115
596,30383000,85,121,85,163
595,30287170,93,117,112,174
593,30000193,87,149,93,173
621,30883000,80,134,103,138
624,30304212,91,169,102,138
603,29328334,128,139,111,162
604,29514045,102,131,122,166
617,29608334,108,139,95,125
579,28532352,95,168,94,174
611,30044212,77,157,91,144
594,29471141,105,126,108,176
613,29528334,118,147,106,149
611,29172352,119,168,98,177
591,29644212,81,157,117,165
601,29454045,114,137,98,172
590,29234045,113,144,77,184
640,30234045,127,139,90,130
626,30614846,77,144,128,135
642,30108334,101,141,99,121
605,29691141,133,125,99,164
637,30564212,91,171,100,131
586,30264266,91,113,94,170
628,29828334,113,134,116,144
592,29980193,87,161,99,166
588,30065904,88,138,100,164
585,29524212,92,161,108,164
641,29772352,122,166,87,139
623,30600193,87,138,123,136
608,29594045,101,130,102,158
589,29048334,109,144,82,174
604,29904212,86,156,101,151
605,29449600,102,121,74,154
594,28996118,111,157,98,165
600,29591141,102,128,87,163
587,29564212,90,166,106,151
631,30925904,91,122,95,120
646,29872352,114,155,100,133
585,30688820,67,139,94,166
595,30888820,71,133,100,169
631,29969600,123,123,116,129
604,29671141,123,130,96,163
607,29731141,100,128,104,160
595,29334045,121,125,106,175
625,30963000,92,129,105,144
610,29468334,110,136,83,153
596,30060193,90,135,95,162
609,29771141,99,130,109,146
603,30365904,88,123,112,153
653,30494045,136,133,120,131
587,29174045,111,122,92,180
587,30412839,70,170,99,151
595,30040193,85,133,105,176
588,29194045,115,127,88,171
623,30051141,122,126,104,169
609,29087005,114,146,127,163
618,29794045,101,127,90,144
629,30720193,85,158,93,142
581,30292839,64,169,118,174
601,29206444,102,168,90,108
631,30054045,122,132,90,141
583,29484212,90,159,104,176
614,29548334,132,148,96,168
593,30532839,69,185,87,155
634,29948334,118,135,118,138
602,29474045,119,121,83,164
641,30644212,92,168,117,124
607,29655311,124,113,90,174
606,29944212,90,158,103,145
582,30312839,68,169,113,179
635,29607005,117,166,130,151
627,29889600,124,124,103,144
616,29708698,119,134,130,147
640,30940193,85,149,116,123
623,29894045,94,132,102,140
569,28332352,102,171,85,184
637,30331141,101,130,95,136
627,30680193,80,136,92,126
609,30440557,86,131,132,147
591,28853618,102,144,95,172
611,29488334,116,148,120,162
573,31892964,55,159,103,164
597,29374045,114,132,105,167
605,30240193,85,141,93,147
595,30444266,83,112,76,185
597,30245904,83,120,111,177
619,31534532,71,130,112,126
598,30265904,87,127,106,157
617,29774045,102,135,100,142
639,31085904,92,128,118,112
619,29729600,116,121,91,164
595,29491141,108,122,86,170
617,29373618,100,139,113,148
647,30208334,129,141,107,133
641,30088334,120,155,100,119
608,31471627,64,128,111,142
642,30431141,134,132,97,113
632,30464212,90,169,95,135
584,28632352,105,159,103,165
592,30303000,79,129,108,169
606,29711141,111,144,110,148
597,31251627,72,130,81,150
636,29988334,117,130,92,138
602,29818864,90,172,128,158
585,29840193,83,125,111,175
592,28873618,104,145,106,174
634,29796118,96,149,108,127
645,29852352,112,169,106,124
647,29892352,113,166,109,127
650,29952352,105,172,124,123
610,29634045,118,118,89,167
637,30880193,91,152,97,131
619,30158864,90,163,127,137
637,29647005,109,162,136,133
635,30840193,90,149,94,130
642,29792352,117,177,119,117
638,30194045,114,130,89,118
613,30084212,85,163,125,140
612,29831141,112,133,97,154
580,28868334,101,145,110,169
567,30012839,72,170,111,174
581,29444212,89,184,112,163
621,30244212,88,172,101,142
584,29114045,108,134,96,187
638,30305793,114,131,128,128
594,29658864,86,178,127,157
592,30145904,89,124,95,164
619,30520193,81,135,82,137
578,29384212,86,150,100,174
613,30038864,91,162,139,141
638,30351141,120,124,89,133
629,30252407,121,108,105,139
630,30740193,91,163,122,132
625,29497700,94,164,63,139
610,29791141,126,118,110,160
638,30028334,96,137,100,132
609,29529600,119,119,121,168
627,29762986,96,139,130,143
630,30191141,100,134,77,120
639,30604212,93,177,98,124
632,29547005,102,172,127,121
640,29707005,113,170,134,132
586,30708820,67,148,108,184
584,28948334,103,149,99,185
615,29891141,108,126,105,144
585,29134045,109,135,75,179
585,28968334,102,137,111,175
593,31171627,72,124,118,157
604,30220193,91,138,107,178
640,30391141,113,136,103,124
622,30827170,91,117,96,143
625,30594846,89,143,131,130
593,30165904,80,138,108,139
620,30540193,92,145,121,130
589,29214045,112,135,102,169
629,30674846,86,143,134,151
580,29905904,87,138,105,170
598,29309600,100,121,79,171
601,29611141,117,125,122,159
637,30412407,96,111,113,120
621,30198864,84,168,141,133
625,30640193,80,139,90,133
603,29494045,128,136,101,169
626,31508820,67,135,112,124
585,30372839,72,165,104,175
585,29291141,98,144,87,153
601,30483000,89,129,123,162
582,28592352,104,156,92,180
577,29131141,100,132,108,159
616,29227005,105,172,134,147
579,28848334,97,135,105,182
625,30760557,74,137,133,118
611,29811141,112,125,110,154
644,29832352,111,161,102,127
574,28914045,96,120,103,191
610,30024212,86,166,109,160
592,28956118,96,151,110,176
590,30263000,88,123,88,173
606,29508698,110,132,131,163
596,29511141,96,131,90,165
583,29800193,88,134,91,160
640,30624212,90,165,102,133
602,30180193,87,142,84,182
617,29292352,101,168,97,126
606,29554045,110,130,97,175
630,29507005,109,189,134,140
579,29404212,83,180,107,172
635,30687978,93,146,123,139
599,29571141,125,120,87,184
614,29187005,125,157,130,162
615,29649600,106,121,104,139
620,29668334,95,143,116,139
620,29991141,109,124,106,129
592,30512839,68,171,86,174
575,28452352,97,159,82,162
621,29688334,111,138,108,145
580,29034045,105,127,93,160
627,30318864,93,176,127,129
590,31192893,72,116,123,159
627,31084266,76,114,109,124
618,29951141,100,128,98,146
592,29431141,112,126,99,182
608,29984212,77,164,105,173
569,29204212,89,167,96,176
579,29720193,89,134,93,185
609,29366444,115,169,113,104
610,29978864,86,179,132,141
624,29868698,98,130,129,124
605,29133618,101,144,78,157
631,31292839,72,191,77,131
623,30923000,91,130,105,132
640,31105904,87,131,78,124
609,30485904,84,129,115,147
610,32238007,58,133,94,135
630,31063000,89,125,104,133
633,30094045,115,130,95,143
577,29680193,88,131,109,175
603,30732839,63,166,114,135
633,30800193,84,128,94,118
624,30943000,82,120,115,141
635,29733618,109,144,80,123
601,31008820,70,146,108,160
596,29269600,100,122,104,167
576,30192839,72,173,81,176
606,29635311,106,117,73,161
639,30371141,130,126,117,131
628,30700193,85,140,109,136
627,29974045,95,125,105,142
632,29989600,97,124,98,116
621,29808698,119,132,135,155
615,30763000,90,128,99,137
593,30081459,93,122,97,171
603,30200193,84,127,106,163
569,28814045,110,126,99,187
580,30063000,92,120,100,179
608,29751141,106,129,98,146
586,29860193,87,149,92,173
585,28652352,98,175,77,176
612,30703000,87,122,96,154
623,29367005,101,166,128,138
587,29331141,114,129,105,171
602,30345904,90,127,89,168
593,29451141,96,140,112,167
619,29648334,114,132,116,166
629,31043000,92,118,95,135
614,30104212,84,152,115,144
603,30523000,92,129,84,165
570,29224212,79,166,104,156
648,30228334,129,145,110,123
628,29593618,98,135,116,144
621,30560193,92,140,95,146
628,30151141,117,128,117,135
635,31005904,91,134,123,130
577,28492352,104,151,106,167
634,30458864,91,162,132,126
618,29267005,102,158,128,135
627,29447005,103,166,129,136
600,30305904,88,124,83,167
593,28893618,94,140,105,163
645,30168334,102,129,89,141
597,29927978,88,153,99,157
573,29600193,85,149,95,181
637,30174045,122,139,113,134
628,29782986,124,145,127,142
598,31516314,59,164,113,119
592,30061459,90,122,105,176
603,29409600,107,123,102,179
622,30345478,93,136,111,140
585,28733618,98,143,98,164
591,30125904,92,135,110,179
591,29335311,101,113,88,176
624,30152407,95,114,95,141
641,31125904,92,138,99,129
616,29992407,104,114,113,146
627,30845904,92,122,98,137
616,29542986,104,144,127,148
613,29376118,122,149,100,160
600,29033618,104,143,83,166
601,30325904,91,134,106,148
624,29829600,107,124,72,143
605,30405904,86,135,101,161
632,30545478,80,145,111,138
602,29256313,110,94,105,158
641,30254045,94,132,90,126
656,30711141,111,143,100,119
587,29412407,122,117,81,176
601,29053618,102,145,91,168
588,29028334,96,139,104,179
604,31150086,71,122,99,125
620,29834045,98,128,112,137
590,29315311,100,113,96,186
588,30223000,85,154,91,170
620,30494846,91,140,130,136
591,30283000,89,126,95,191
626,30111141,101,124,99,137
645,30334045,110,141,117,130
604,29429600,116,119,106,165
620,30863000,92,127,100,140
586,30392839,72,165,104,165
602,29389600,126,121,103,173
613,30723000,89,134,102,152
594,30552839,68,174,117,164
619,29971141,133,132,83,162
630,29988698,115,136,132,132
620,30705904,93,124,93,128
623,30681459,92,114,109,130
621,30725904,84,131,88,126
606,30260193,90,144,92,165
572,29264212,87,167,79,165
642,30274045,108,130,95,124
651,30136118,134,153,102,127
587,29008334,99,149,87,183
615,29734045,103,135,107,139
635,30291141,107,123,106,137
641,30960193,93,134,87,129
630,30272407,96,111,98,137
574,29620193,91,138,100,176
613,29851141,107,131,101,153
618,29709600,100,123,90,130
593,30323000,80,125,109,160
582,30628820,67,143,86,176
598,29505793,118,121,129,159
590,30105904,86,134,99,163
581,28572352,98,161,100,168
595,30363000,87,130,113,169
610,30340193,81,145,95,146
637,30518864,89,173,131,113
601,30114846,89,139,129,168
626,29954045,124,139,97,135
632,30945904,85,124,98,137
638,30900193,92,132,90,127
596,29036118,102,153,94,173
607,30280193,76,139,102,142
574,29304212,86,167,115,172
628,29676118,108,139,104,147
580,29740193,74,126,100,168
611,29253618,106,145,118,166
621,29327005,94,167,128,136
634,30940557,74,123,129,119
628,29948698,99,120,127,129
644,30148334,110,132,101,133
591,29411141,99,129,116,164
